Job Title,Industry,AI Impact,Tasks,AI models,AI_Workload_Ratio,Required Education,Median Salary (USD),Expected Openings (2030),AI Impact Original,Experience Required (Years),Automation Risk (%)
Social Media Analyst,Finance & Banking,55,247,2115,0.11678487,Doctorate / PhD,130000,906,55%,3,39.7
Social Media Consultant,General Business,55,241,2114,0.114001892,Master's Degree,80000,1181,55%,3,39.58
Social Media Marketing,Sales & Marketing,55,259,2183,0.118644068,High School Diploma,35000,1072,55%,3,40.13
Vice President Of Marketing,Sales & Marketing,55,132,976,0.135245902,High School Diploma,35000,1121,55%,3,34.2
Vp Marketing,Sales & Marketing,54,136,981,0.138634047,High School Diploma,35000,1064,54%,8,33.81
Business Project Manager,General Business,53,207,1602,0.129213483,Master's Degree,120000,994,53%,5,36.43
Commercial Project Manager,General Business,53,197,1459,0.135023989,Master's Degree,120000,1071,53%,5,35.84
Implementation Project Manager,General Business,53,206,1608,0.128109453,Master's Degree,120000,1196,53%,5,36.43
Marketing Project Manager,Sales & Marketing,52,178,1396,0.127507163,Master's Degree,120000,1224,52%,5,34.77
Pmo Manager,General Business,52,148,1192,0.124161074,Master's Degree,120000,995,52%,5,33.58
Product Marketing Manager,Sales & Marketing,51,173,1350,0.128148148,Master's Degree,120000,1228,51%,5,34.04
Project Controller,General Business,51,155,1215,0.127572016,High School Diploma,35000,1075,51%,3,33.3
Senior Product Manager,General Business,50,161,1257,0.128082737,Master's Degree,120000,1205,50%,5,33.04
Dealer,General Business,50,54,369,0.146341463,High School Diploma,35000,994,50%,3,28.54
Personal Shopper,General Business,50,71,543,0.130755064,High School Diploma,35000,1068,50%,3,29.25
Store Shopper,General Business,50,64,529,0.120982987,High School Diploma,35000,1018,50%,3,29
Electrical Engineer,Information Technology,50,130,847,0.153482881,Bachelor's Degree,78000,1666,50%,3,31.4
Fabrication Manager,General Business,50,114,805,0.141614907,Master's Degree,120000,1138,50%,5,30.9
Quantity Surveyor,Information Technology,50,80,636,0.125786164,High School Diploma,35000,1595,50%,3,29.66
Surveyor,General Business,50,80,680,0.117647059,High School Diploma,35000,1088,50%,3,29.73
Commercial Underwriter,Information Technology,50,179,1514,0.118229855,High School Diploma,35000,1411,50%,3,34.11
Insurance Analyst,Finance & Banking,50,186,1529,0.121648136,Doctorate / PhD,130000,929,50%,3,34.3
Licensed Insurance Agent,Insurance,50,104,846,0.122931442,High School Diploma,35000,1052,50%,3,30.72
Property Claims Adjuster,General Business,50,91,766,0.118798956,High School Diploma,35000,936,50%,3,30.2
Healthcare Consultant,Healthcare,50,190,1528,0.12434555,Master's Degree,80000,2173,50%,3,34.38
Medical Administrative Assistant,Healthcare,50,115,848,0.135613208,Associate Degree,40500,1933,50%,0,31.01
Medical Consultant,Healthcare,50,100,779,0.128369705,Master's Degree,80000,2137,50%,3,30.48
Medical Office Specialist,Healthcare,50,117,887,0.131905299,Bachelor's Degree,78000,2239,50%,2,31.14
Patient Account Representative,Finance & Banking,50,103,813,0.126691267,High School Diploma,35000,1131,50%,3,30.62
Pharmacy Technician Trainee,Information Technology,50,48,501,0.095808383,Associate Degree,45000,1598,50%,0,28.42
Eligibility Specialist,Information Technology,50,154,1110,0.138738739,Bachelor's Degree,78000,1654,50%,2,32.53
Eligibility Worker,Information Technology,50,153,1109,0.137962128,High School Diploma,35000,1598,50%,3,32.5
Mail Carrier,General Business,50,41,390,0.105128205,High School Diploma,35000,1059,50%,3,28.02
Professional Organizer,General Business,50,61,488,0.125,High School Diploma,35000,1008,50%,3,28.85
Buyer Planner,Logistics & Supply Chain,50,183,1289,0.14197052,High School Diploma,35000,1131,50%,3,33.61
Export Specialist,General Business,50,167,1167,0.143101971,Bachelor's Degree,78000,1239,50%,2,32.96
Gas Controller,General Business,50,122,802,0.152119701,High School Diploma,35000,1006,50%,3,31.11
Logistics Assistant,Administrative & Office Support,50,139,1138,0.122144112,Associate Degree,40500,1107,50%,0,32.24
Materials Coordinator,General Business,50,135,974,0.138603696,High School Diploma,35000,1091,50%,5,31.77
Procurement Specialist,Logistics & Supply Chain,50,150,1190,0.12605042,Bachelor's Degree,78000,1361,50%,2,32.62
Purchasing Analyst,Finance & Banking,50,147,1149,0.127937337,Doctorate / PhD,130000,982,50%,3,32.45
Service Manager,General Business,50,114,911,0.125137212,Master's Degree,120000,1075,50%,5,31.11
Sourcing Specialist,General Business,50,148,1195,0.123849372,Bachelor's Degree,78000,1166,50%,2,32.59
Assistant Media Planner,Administrative & Office Support,50,206,1797,0.114635504,Associate Degree,40500,1096,50%,0,35.46
Broadcast Producer,Media & Entertainment,50,179,1516,0.118073879,High School Diploma,35000,748,50%,3,34.11
Communications Associate,General Business,50,207,1797,0.115191987,High School Diploma,35000,960,50%,3,35.48
Digital Media Specialist,Information Technology,50,286,2430,0.117695473,Bachelor's Degree,78000,1724,50%,2,38.88
Video Coordinator,General Business,50,206,1660,0.124096386,High School Diploma,35000,1038,50%,5,35.07
Etl Tester,General Business,50,159,1100,0.144545455,High School Diploma,35000,912,50%,3,32.62
Qa Tester,Information Technology,50,280,2236,0.125223614,Certification / Professional,65000,1705,50%,3,38.18
Quality Assurance Tester,Information Technology,50,280,2236,0.125223614,High School Diploma,35000,1425,50%,3,38.18
Software Qa Engineer,Information Technology,50,277,2231,0.12415957,Bachelor's Degree,78000,1859,50%,3,38.11
Software Quality Assurance,Information Technology,50,275,2220,0.123873874,High School Diploma,35000,1482,50%,3,38.04
Software Quality Assurance Engineer,Information Technology,50,276,2219,0.124380352,Bachelor's Degree,78000,1653,50%,3,38.06
Software Test Engineer,Information Technology,50,272,2209,0.123132639,Bachelor's Degree,78000,1897,50%,3,37.95
Software Tester,Information Technology,50,272,2209,0.123132639,High School Diploma,35000,1511,50%,3,37.95
Test Analyst,Finance & Banking,50,252,2050,0.122926829,Doctorate / PhD,130000,1015,50%,3,37.1
Test Engineer,Information Technology,50,130,986,0.131845842,Bachelor's Degree,78000,1623,50%,3,31.67
Tester,General Business,50,134,1008,0.132936508,High School Diploma,35000,1044,50%,3,31.82
Java Consultant,General Business,50,186,1290,0.144186047,Master's Degree,80000,1096,50%,3,33.68
CPR Instructor,General Business,50,64,489,0.130879346,High School Diploma,35000,909,50%,3,28.96
Community Health Educator,Information Technology,50,155,1155,0.134199134,High School Diploma,35000,1538,50%,3,32.65
Curriculum Developer,Information Technology,50,157,1406,0.111664296,Bachelor's Degree,78000,1787,50%,2,33.34
Day Care Teacher,Education,50,74,566,0.130742049,Bachelor's Degree,60000,1286,50%,3,29.37
Early Childhood Teacher,Education,50,73,562,0.129893238,Bachelor's Degree,60000,1202,50%,3,29.34
Educational Consultant,Education,50,162,1458,0.111111111,Master's Degree,80000,1144,50%,3,33.59
Flight Instructor,General Business,50,55,399,0.137844612,High School Diploma,35000,1075,50%,3,28.58
Training Consultant,General Business,50,125,930,0.134408602,Master's Degree,80000,1105,50%,3,31.43
3D Animator,Media & Entertainment,50,132,1041,0.126801153,High School Diploma,35000,734,50%,3,31.85
3D Artist,Media & Entertainment,50,156,1190,0.131092437,High School Diploma,35000,850,50%,3,32.76
Architectural Draftsman,Information Technology,50,137,932,0.146995708,Bachelor's Degree,78000,1634,50%,3,31.74
Digital Artist,Information Technology,50,240,2063,0.116335434,High School Diploma,35000,1648,50%,3,36.91
Draftsman,General Business,50,149,1375,0.108363636,High School Diploma,35000,1015,50%,3,33.09
Graphic Artist,Media & Entertainment,50,238,2083,0.114258281,High School Diploma,35000,758,50%,3,36.93
CNA,General Business,50,31,233,0.13304721,High School Diploma,35000,1094,50%,3,27.6
Clinical Pharmacist,Healthcare,50,93,745,0.124832215,High School Diploma,35000,1862,50%,3,30.22
Compounder,General Business,50,59,487,0.121149897,High School Diploma,35000,900,50%,3,28.78
Dental Ceramist,Healthcare,50,49,365,0.134246575,Associate Degree,45000,1997,50%,3,28.34
Dental Lab Technician,Information Technology,50,49,347,0.141210375,Associate Degree,45000,1745,50%,2,28.34
Dental Technician,Information Technology,50,50,350,0.142857143,Associate Degree,45000,1681,50%,2,28.38
Dialysis Technician,Information Technology,50,54,491,0.109979633,Associate Degree,45000,1547,50%,2,28.61
Hemodialysis Technician,Information Technology,50,49,397,0.123425693,Associate Degree,45000,1727,50%,2,28.34
Hospital Cleaner,Information Technology,50,20,240,0.083333333,High School Diploma,31500,1362,50%,3,26.97
Hospital Pharmacist,Information Technology,50,86,727,0.11829436,High School Diploma,35000,1633,50%,3,29.99
Medical Assembler,Healthcare,50,54,493,0.109533469,Associate Degree,45000,1876,50%,3,28.61
Programmer,Information Technology,50,218,1891,0.115282919,Bachelor's Degree,60000,1911,50%,3,35.97
Senior Programmer,Information Technology,50,217,1894,0.114572334,Bachelor's Degree,60000,1754,50%,3,35.96
Software Programmer,Information Technology,50,219,1900,0.115263158,Bachelor's Degree,60000,1916,50%,3,36.02
Web Programmer,Information Technology,50,148,1080,0.137037037,Bachelor's Degree,60000,1927,50%,3,32.32
Cognos Developer,Information Technology,50,161,1098,0.146630237,Bachelor's Degree,78000,1808,50%,2,32.66
Pricing Analyst,Finance & Banking,50,144,1055,0.136492891,Doctorate / PhD,130000,942,50%,3,32.17
Sap Business Analyst,Finance & Banking,50,196,1580,0.124050633,Doctorate / PhD,130000,1026,50%,3,34.64
Business Data Analyst,Finance & Banking,50,207,1500,0.138,Doctorate / PhD,130000,949,50%,3,34.66
Senior Design Engineer,Information Technology,50,163,1621,0.100555213,Bachelor's Degree,78000,1832,50%,3,34.08
Ux Designer,Architecture & Engineering,50,129,993,0.129909366,Bachelor's Degree,60000,1183,50%,3,31.66
Hris Analyst,Finance & Banking,50,175,1363,0.12839325,Doctorate / PhD,130000,929,50%,3,33.62
Talent Acquisition,Information Technology,50,126,1096,0.114963504,High School Diploma,35000,1486,50%,3,31.84
Talent Acquisition Manager,Information Technology,50,125,1095,0.114155251,Master's Degree,120000,1733,50%,5,31.81
Talent Acquisition Specialist,Information Technology,50,126,1096,0.114963504,Bachelor's Degree,78000,1719,50%,2,31.84
Paralegal,General Business,50,144,982,0.146639511,High School Diploma,35000,1031,50%,3,32.01
Title Examiner,Information Technology,50,124,938,0.132196162,High School Diploma,35000,1620,50%,3,31.42
Fundraiser,General Business,50,164,1393,0.117731515,High School Diploma,35000,1096,50%,3,33.46
Underwriting Assistant,Information Technology,50,126,957,0.131661442,Associate Degree,40500,1813,50%,0,31.51
Analytical Scientist,General Business,50,124,912,0.135964912,Doctorate / PhD,130000,733,50%,6,31.37
Biochemist,General Business,50,113,828,0.13647343,High School Diploma,35000,916,50%,3,30.92
Chemical Engineer,Information Technology,50,116,845,0.137278107,Bachelor's Degree,78000,1726,50%,3,31.03
Chemical Technician,Information Technology,50,106,795,0.133333333,Associate Degree,45000,1493,50%,2,30.67
Telemetry Technician,Information Technology,50,85,689,0.123367199,Associate Degree,45000,1659,50%,2,29.89
Actuarial Analyst,Finance & Banking,50,160,1519,0.105332456,Doctorate / PhD,130000,961,50%,3,33.72
Bursar,General Business,50,146,1045,0.139712919,High School Diploma,35000,946,50%,3,32.19
Cash Manager,General Business,50,169,1250,0.1352,Master's Degree,120000,1141,50%,5,33.2
Compensation Manager,General Business,50,170,1254,0.135566188,Master's Degree,120000,1100,50%,5,33.23
Cost Accounting Manager,Finance & Banking,50,156,1101,0.141689373,Master's Degree,120000,1341,50%,5,32.55
Cost Estimator,General Business,50,164,1138,0.144112478,High School Diploma,35000,1002,50%,3,32.82
Junior Loan Processor,Finance & Banking,50,130,954,0.136268344,High School Diploma,35000,1153,50%,0,31.6
Junior Underwriter,Information Technology,50,123,932,0.131974249,High School Diploma,35000,1522,50%,0,31.38
Loan Processor,Finance & Banking,50,129,962,0.134095634,High School Diploma,35000,1166,50%,3,31.6
Mortgage Processor,General Business,50,127,960,0.132291667,High School Diploma,35000,981,50%,3,31.54
Mortgage Underwriter,Information Technology,50,125,954,0.131027254,High School Diploma,35000,1575,50%,3,31.48
Tax Advisor,Finance & Banking,50,112,866,0.129330254,High School Diploma,35000,1146,50%,3,30.97
Tax Consultant,Finance & Banking,50,114,870,0.131034483,Master's Degree,80000,1189,50%,3,31.03
Tax Specialist,Finance & Banking,50,114,870,0.131034483,Bachelor's Degree,78000,1574,50%,2,31.03
Trading Analyst,Finance & Banking,50,148,1070,0.138317757,Doctorate / PhD,130000,986,50%,3,32.29
Travel Manager,General Business,50,116,931,0.124597207,Master's Degree,120000,1157,50%,5,31.2
Armed Security Officer,Information Technology,50,75,569,0.131810193,Master's Degree,120000,1731,50%,8,29.41
Bouncer,General Business,50,25,238,0.105042017,High School Diploma,35000,1003,50%,3,27.25
Clinical Trial Associate,Healthcare,50,162,1197,0.135338346,Doctorate / PhD,100000,1345,50%,3,32.91
Fire Safety Director,Public Safety & Government,50,85,628,0.135350318,Master's Degree,120000,1027,50%,8,29.8
Fraud Investigator,General Business,50,169,1270,0.133070866,High School Diploma,35000,961,50%,3,33.25
Intelligence Specialist,Public Safety & Government,50,177,1247,0.141940658,Bachelor's Degree,78000,1091,50%,2,33.37
Loss Prevention Officer,Administrative & Office Support,50,70,540,0.12962963,Master's Degree,120000,1124,50%,8,29.21
Police Records Clerk,Administrative & Office Support,50,59,623,0.09470305,High School Diploma,31500,949,50%,0,29
Safety Director,Public Safety & Government,50,69,540,0.127777778,Master's Degree,120000,956,50%,8,29.18
Safety Inspector,Public Safety & Government,50,67,523,0.128107075,High School Diploma,35000,973,50%,3,29.09
Security Specialist,Information Technology,50,92,735,0.125170068,Bachelor's Degree,78000,1769,50%,2,30.17
Surveillance Investigator,General Business,50,82,673,0.121842496,High School Diploma,35000,995,50%,3,29.78
Business Analyst,Finance & Banking,50,218,1726,0.126303592,Doctorate / PhD,130000,1035,50%,3,35.5
Construction Estimator,General Business,50,163,1111,0.146714671,High School Diploma,35000,916,50%,3,32.74
Crm Administrator,Administrative & Office Support,50,183,1401,0.130620985,Bachelor's Degree,60000,1185,50%,3,33.89
Etl Informatica Developer,Information Technology,50,161,1087,0.148114075,Bachelor's Degree,78000,1827,50%,2,32.64
Help Desk Technician,Information Technology,50,204,1563,0.130518234,Associate Degree,45000,1769,50%,2,34.76
It Engineer,Information Technology,50,188,1290,0.145736434,Bachelor's Degree,78000,1715,50%,3,33.72
Linux Engineer,Information Technology,50,189,1387,0.136265321,Bachelor's Degree,78000,1657,50%,3,33.98
Linux System Administrator,Administrative & Office Support,50,189,1387,0.136265321,Bachelor's Degree,60000,1137,50%,3,33.98
Network Administrator,Administrative & Office Support,50,186,1666,0.111644658,Bachelor's Degree,60000,1218,50%,3,34.68
Network Security Administrator,Information Technology,50,175,1681,0.1041047,Bachelor's Degree,60000,1726,50%,3,34.5
Sap Basis Administrator,Administrative & Office Support,50,170,1248,0.136217949,Bachelor's Degree,60000,1093,50%,3,33.22
Security Administrator,Information Technology,50,160,1233,0.129764801,Bachelor's Degree,60000,1681,50%,3,32.96
Security Architect,Information Technology,50,167,1603,0.104179663,Bachelor's Degree,78000,1936,50%,3,34.11
Solution Architect,Information Technology,50,205,1543,0.132858069,Bachelor's Degree,78000,1745,50%,3,34.73
System Administrator,Administrative & Office Support,50,182,1261,0.144329897,Bachelor's Degree,60000,1268,50%,3,33.52
Systems Programmer,Information Technology,50,202,1686,0.119810202,Bachelor's Degree,60000,1841,50%,3,35.06
Technical Support Analyst,Information Technology,50,220,1796,0.122494432,Doctorate / PhD,130000,1286,50%,2,35.74
Technical Support Specialist,Information Technology,50,219,1795,0.122005571,Bachelor's Degree,78000,1728,50%,2,35.71
Technology Analyst,Information Technology,50,240,1729,0.13880856,Doctorate / PhD,130000,1190,50%,3,35.95
Vmware Engineer,Information Technology,50,139,1048,0.132633588,Bachelor's Degree,78000,1832,50%,3,32.03
Wireless Network Engineer,Information Technology,50,142,1054,0.134724858,Bachelor's Degree,78000,1978,50%,3,32.12
Mobile Engineer,Information Technology,50,137,1106,0.123869801,Bachelor's Degree,78000,1679,50%,3,32.12
R&D Engineer,Information Technology,50,153,1151,0.132927889,Bachelor's Degree,78000,1641,50%,3,32.6
Research And Development Engineer,Information Technology,50,154,1152,0.133680556,Bachelor's Degree,78000,1663,50%,3,32.62
Wireless Engineer,Information Technology,50,142,1054,0.134724858,Bachelor's Degree,78000,1733,50%,3,32.12
Administrative Manager,Administrative & Office Support,50,288,2547,0.113074205,Master's Degree,120000,1202,50%,5,39.27
Credentialing Coordinator,General Business,50,164,1261,0.130055511,High School Diploma,35000,982,50%,5,33.12
Credentialing Specialist,General Business,50,164,1261,0.130055511,Bachelor's Degree,78000,1241,50%,2,33.12
Document Controller,General Business,50,202,1569,0.128744423,High School Diploma,35000,1011,50%,3,34.74
Enrollment Specialist,General Business,50,177,1458,0.121399177,Bachelor's Degree,78000,1082,50%,2,33.91
Facilities Coordinator,Information Technology,50,156,1117,0.139659803,High School Diploma,35000,1539,50%,5,32.59
Fraud Specialist,General Business,50,176,1320,0.133333333,Bachelor's Degree,78000,1242,50%,2,33.53
Office Receptionist,Administrative & Office Support,50,79,658,0.12006079,High School Diploma,31500,1067,50%,3,29.66
Program Evaluator,General Business,50,114,964,0.118257261,High School Diploma,35000,1092,50%,3,31.23
Receptionist,Administrative & Office Support,50,81,662,0.122356495,High School Diploma,31500,972,50%,3,29.73
Referral Coordinator,General Business,50,114,858,0.132867133,High School Diploma,35000,1037,50%,5,31
Referral Specialist,General Business,50,113,857,0.131855309,Bachelor's Degree,78000,1219,50%,2,30.97
Security Receptionist,Information Technology,50,44,381,0.115485564,High School Diploma,31500,1558,50%,3,28.13
Unit Clerk,Information Technology,50,76,782,0.097186701,High School Diploma,31500,1429,50%,0,29.83
Ward Clerk,Administrative & Office Support,50,74,701,0.105563481,High School Diploma,31500,1052,50%,0,29.6
Cdl Driver,General Business,50,32,284,0.112676056,High School Diploma,31500,1078,50%,3,27.59
Class A Driver,General Business,50,32,271,0.118081181,High School Diploma,31500,964,50%,3,27.6
Class B CDL,General Business,50,31,254,0.122047244,High School Diploma,35000,1098,50%,3,27.56
Class B Driver,General Business,50,31,254,0.122047244,High School Diploma,31500,1067,50%,3,27.56
Commercial Driver,General Business,50,32,284,0.112676056,High School Diploma,31500,997,50%,3,27.59
Otr Truck Driver,General Business,50,31,347,0.089337176,High School Diploma,31500,1044,50%,3,27.57
Tractor Trailer Driver,General Business,50,52,558,0.093189964,High School Diploma,31500,1024,50%,3,28.65
Blackjack Dealer,General Business,50,53,368,0.144021739,High School Diploma,35000,1078,50%,3,28.5
Casino Dealer,General Business,50,54,361,0.149584488,High School Diploma,35000,910,50%,3,28.55
Optician,General Business,50,49,503,0.097415507,High School Diploma,35000,981,50%,3,28.46
Senior Pharmacy Technician,Information Technology,50,46,506,0.090909091,Associate Degree,45000,1682,50%,2,28.36
Surgical First Assistant,Healthcare,50,35,371,0.094339623,Associate Degree,40500,1792,50%,0,27.76
Surgical Physician Assistant,Healthcare,50,35,371,0.094339623,Associate Degree,40500,1901,50%,0,27.76
Cabin Cleaner,Manufacturing & Labor,50,20,240,0.083333333,High School Diploma,31500,715,50%,3,26.97
Cable Installation Technician,Information Technology,50,65,458,0.141921397,Associate Degree,45000,1621,50%,2,28.97
Cable Technician,Information Technology,50,63,451,0.139689579,Associate Degree,45000,1503,50%,2,28.9
Instrumentation Technician,Information Technology,50,116,719,0.161335188,Associate Degree,45000,1491,50%,2,30.82
Interior Painter,General Business,50,35,351,0.0997151,High School Diploma,35000,1069,50%,3,27.74
Manufacturing Operator,Manufacturing & Labor,50,58,512,0.11328125,Associate Degree,40500,831,50%,2,28.78
Asset Protection Manager,General Business,50,183,1823,0.100383982,Master's Degree,120000,1125,50%,5,35.08
Icu Nurse,General Business,50,31,216,0.143518519,High School Diploma,35000,1015,50%,3,27.64
Travel Nurse,General Business,50,29,198,0.146464646,High School Diploma,35000,1009,50%,3,27.58
Car Detailer,General Business,50,51,601,0.084858569,High School Diploma,35000,983,50%,3,28.71
Package Handler,General Business,50,112,1318,0.084977238,High School Diploma,35000,942,50%,3,32.12
Packager,General Business,50,111,1316,0.084346505,High School Diploma,35000,1087,50%,3,32.09
Document Control Manager,General Business,50,243,2055,0.118248175,Master's Degree,120000,1083,50%,5,36.94
Escrow Officer,Administrative & Office Support,50,197,1823,0.108063631,Master's Degree,120000,1094,50%,8,35.36
Clinical Trial Manager,Healthcare,50,173,1744,0.099197248,Doctorate / PhD,150000,1340,50%,5,34.64
Computer Programmer,Information Technology,50,154,1667,0.092381524,Bachelor's Degree,60000,1839,50%,3,34.03
Information Architect,Information Technology,50,231,2053,0.112518266,Bachelor's Degree,78000,1948,50%,3,36.7
Clinic Manager,General Business,50,182,1782,0.102132435,Master's Degree,120000,1123,50%,5,34.94
Tax Auditor,Information Technology,50,185,1867,0.099089448,High School Diploma,35000,1367,50%,3,35.25
Business Associate,General Business,50,229,2087,0.109726881,High School Diploma,35000,1024,50%,3,36.77
Travel Rn,General Business,50,28,197,0.14213198,High School Diploma,35000,1009,50%,3,27.52
Business Process Manager,General Business,50,671,2162,0.310360777,Master's Degree,120000,1093,50%,5,45.41
Statistician,General Business,50,165,1537,0.107351984,High School Diploma,35000,996,50%,3,33.88
Digital Account Executive,Information Technology,50,743,2770,0.268231047,Master's Degree,120000,1701,50%,8,48.17
Inside Sales Executive,Sales & Marketing,50,564,1855,0.304043127,Master's Degree,120000,1158,50%,8,42.72
Medical Sales Representative,Healthcare,50,530,1676,0.316229117,Associate Degree,45000,1794,50%,3,41.72
Outside Sales Rep,Sales & Marketing,50,210,1948,0.107802875,High School Diploma,35000,1022,50%,3,35.98
Outside Sales Representative,Sales & Marketing,50,211,1949,0.108260646,High School Diploma,35000,1175,50%,3,36
Pre Sales Consultant,Sales & Marketing,50,208,1948,0.106776181,Master's Degree,80000,1222,50%,3,35.94
Regional Sales Representative,Sales & Marketing,50,216,1967,0.109811896,High School Diploma,35000,1094,50%,3,36.16
Sales Account Manager,Finance & Banking,50,212,1950,0.108717949,Master's Degree,120000,1201,50%,5,36.03
Sales Analyst,Finance & Banking,50,212,1978,0.107178969,Doctorate / PhD,130000,903,50%,3,36.11
Sales Executive,Sales & Marketing,50,207,1933,0.107087429,Master's Degree,120000,1318,50%,8,35.88
Sales Marketing,Sales & Marketing,50,211,2001,0.105447276,High School Diploma,35000,1156,50%,3,36.16
Sales Support Specialist,Sales & Marketing,50,211,1966,0.107324517,Bachelor's Degree,78000,1441,50%,2,36.06
Agency Nurse,General Business,50,333,1214,0.274299835,High School Diploma,35000,903,50%,3,36.83
Er Nurse,General Business,50,318,1122,0.28342246,High School Diploma,35000,950,50%,3,36.38
Nurse Rn,General Business,50,384,1421,0.270232231,High School Diploma,35000,925,50%,3,38.26
Nursing Assistant,Healthcare,50,34,219,0.155251142,Associate Degree,40500,1980,50%,0,27.82
Spanish Interpreter,General Business,50,122,1051,0.116079924,High School Diploma,35000,936,50%,3,31.63
Cad Engineer,Information Technology,50,547,2314,0.236387208,Bachelor's Degree,78000,1839,50%,3,43.42
Hardware Engineer,Information Technology,50,465,1829,0.254237288,Bachelor's Degree,78000,1695,50%,3,40.7
Restaurant Host,General Business,50,36,300,0.12,High School Diploma,35000,933,50%,3,27.78
Child Life Specialist,General Business,50,452,1561,0.289557976,Bachelor's Degree,78000,1304,50%,2,39.92
Early Intervention Specialist,General Business,50,418,1440,0.290277778,Bachelor's Degree,78000,1265,50%,2,39.01
Interior Decorator,General Business,50,408,1792,0.227678571,High School Diploma,35000,1042,50%,3,39.49
Criminal Analyst,Finance & Banking,50,470,1602,0.293383271,Doctorate / PhD,130000,949,50%,3,40.37
Evidence Technician,Information Technology,50,380,1370,0.277372263,Associate Degree,45000,1743,50%,2,38.09
Loss Prevention Investigator,General Business,50,390,1376,0.283430233,High School Diploma,35000,1037,50%,3,38.31
Private Investigator,General Business,49,63,395,0.159493671,High School Diploma,35000,905,49%,3,28.4
Safety Supervisor,Public Safety & Government,48,160,1652,0.0968523,High School Diploma,35000,915,48%,5,33.11
Security Coordinator,Information Technology,48,148,1607,0.092097075,Certification / Professional,65000,1941,48%,5,32.73
Automotive Service Technician,Information Technology,48,166,722,0.229916898,Associate Degree,45000,1674,48%,2,31.24
Broadband Technician,Information Technology,48,391,1695,0.230678466,Associate Degree,45000,1792,48%,2,37.93
Computer Systems Analyst,Information Technology,48,549,2019,0.27191679,Doctorate / PhD,130000,1168,48%,3,41.76
Control Engineer,Information Technology,48,473,1839,0.257205003,Bachelor's Degree,78000,1965,48%,3,39.88
Embedded Engineer,Information Technology,48,477,1899,0.251184834,Bachelor's Degree,78000,1966,48%,3,40.09
Help Desk Administrator,Administrative & Office Support,48,599,2279,0.262834577,Bachelor's Degree,60000,1264,48%,3,43.31
Help Desk Analyst,Finance & Banking,48,603,2284,0.264010508,Doctorate / PhD,130000,1014,48%,3,43.4
Integration Developer,Information Technology,48,503,1957,0.25702606,Bachelor's Degree,78000,1934,48%,2,40.73
It Recruiter,Information Technology,47,489,1602,0.305243446,High School Diploma,35000,1603,47%,3,39.26
Junior Web Developer,Information Technology,47,526,2020,0.26039604,Bachelor's Degree,78000,1968,47%,0,40.82
Linux Administrator,Administrative & Office Support,46,483,1856,0.260237069,Bachelor's Degree,60000,1161,46%,3,39.12
Middleware Engineer,Information Technology,46,488,1923,0.253770151,Bachelor's Degree,78000,1778,46%,3,39.36
Network Security Analyst,Information Technology,45,591,2171,0.272224781,Doctorate / PhD,130000,1227,45%,3,41.41
Operations Engineer,Information Technology,45,186,1833,0.101472995,Bachelor's Degree,78000,1967,45%,3,32.67
Sas Analyst,Finance & Banking,45,173,1731,0.09994223,Doctorate / PhD,130000,888,45%,3,32.1
Sas Programmer,Information Technology,45,177,1743,0.101549053,Bachelor's Degree,60000,1941,45%,3,32.22
Senior Systems Administrator,Information Technology,45,186,1836,0.10130719,Bachelor's Degree,60000,1813,45%,3,32.68
Sharepoint Developer,Information Technology,45,174,1779,0.097807757,Bachelor's Degree,78000,1822,45%,2,32.27
Technical Support,Information Technology,45,204,2014,0.101290963,High School Diploma,35000,1582,45%,2,33.56
Technical Support Agent,Information Technology,45,204,2014,0.101290963,High School Diploma,35000,1492,45%,2,33.56
Technical Support Representative,Information Technology,45,204,2014,0.101290963,High School Diploma,35000,1437,45%,2,33.56
Technology Specialist,Information Technology,45,199,1930,0.103108808,Bachelor's Degree,78000,1848,45%,2,33.21
Virtualization Engineer,Information Technology,45,168,1752,0.095890411,Bachelor's Degree,78000,1715,45%,3,32.07
Wireless Consultant,General Business,45,189,1866,0.101286174,Master's Degree,80000,1167,45%,3,32.82
Financial Planning Analyst,Finance & Banking,45,640,2256,0.283687943,Doctorate / PhD,130000,867,45%,3,42.53
Kyc Analyst,Finance & Banking,45,545,1794,0.303790412,Doctorate / PhD,130000,1042,45%,3,39.73
Product Analyst,Finance & Banking,45,212,1922,0.110301769,Doctorate / PhD,130000,1010,45%,3,33.44
Research Technician,Information Technology,45,188,1803,0.10427066,Associate Degree,45000,1502,45%,2,32.62
Sap Analyst,Finance & Banking,45,177,1751,0.101085094,Doctorate / PhD,130000,1011,45%,3,32.24
Clinical Data Manager,Healthcare,45,739,2535,0.291518738,Master's Degree,120000,2156,45%,5,45.02
Enterprise Data Architect,Information Technology,45,560,2069,0.270662156,Bachelor's Degree,78000,1789,45%,3,40.58
Junior Data Analyst,Finance & Banking,45,699,2417,0.289201489,Doctorate / PhD,130000,980,45%,0,44
Oracle Database Administrator,Information Technology,45,184,1823,0.100932529,Bachelor's Degree,60000,1827,45%,3,32.6
Senior Data Analyst,Finance & Banking,45,198,1846,0.107258938,Doctorate / PhD,130000,935,45%,3,32.94
Windows Server Administrator,Administrative & Office Support,45,183,1795,0.101949861,Bachelor's Degree,60000,1157,45%,3,32.49
Digital Designer,Information Technology,45,765,2778,0.27537797,Bachelor's Degree,60000,1853,45%,3,46.09
